© 2000-2017 QIAGEN. All rights reserved.

Analysis Details for My Projects->IPA-Sarah->Newborns-Combined - 2017-12-07 12:37 PM
Workspace	My Projects
Project	IPA-Sarah
Analysis	Newborns-Combined - 2017-12-07 12:37 PM
Date	Thu Dec 07 09:37:18 PST 2017
Analysis ID	15776117

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->IPA-Sarah->Newborns-Combined - 2017-12-07 12:37 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Cancer, Cellular Development, Organismal Injury and Abnormalities, Tumor Morphology	differentiation	Arrest in differentiation of leukemia cells	2.45E-05	 	 	 	 	RUNX1,CASP8	2	
Cell Death and Survival, Organismal Injury and Abnormalities	anoikis	Anoikis of endothelial cells	3.68E-05	 	 	 	 	CASP8,RDX	2	
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Humoral Immune Response, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	differentiation	Differentiation of pre-B lymphocytes	8.65E-05	 	 	 	 	TNFSF13B,EBF1,RUNX1	3	
Connective Tissue Development and Function, Tissue Morphology	quantity	Quantity of adipose tissue	2.00E-04	 	 	 	 	C6orf15,PRKAR2B,EBF1,STEAP4,CASP8	5	
Cancer, Cell Death and Survival, Organismal Injury and Abnormalities, Tumor Morphology	apoptosis	Apoptosis of leukemia cells	3.81E-04	 	 	 	 	TNFSF13B,RUNX1,CASP8	3	
Cell Death and Survival	apoptosis	Apoptosis of lymphoma cell lines	3.85E-04	 	 	 	 	TNFSF13B,EBF1,RUNX1,CASP8	4	
Gene Expression	transcription	Transcription	4.28E-04	 	 	 	 	TNFSF13B,PRKAR2B,SUB1,CXXC1,H2AFY2,DUSP22,RDX,HIST1H1D,EBF1,RUNX1,ZFP57,CASP8,JMJD1C	13	
Organismal Survival	viability	Viability	5.06E-04	 	 	 	 	RUNX1,CXXC1,CASP8	3	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Lymphoid Tissue Structure and Development	expansion	Expansion of leukocytes	5.20E-04	 	 	 	 	TNFSF13B,EBF1,RUNX1,CASP8	4	
Cellular Growth and Proliferation, Lymphoid Tissue Structure and Development	expansion	Expansion of lymphatic system cells	5.20E-04	 	 	 	 	TNFSF13B,EBF1,RUNX1,CASP8	4	
Cell Death and Survival, Hematological System Development and Function	survival	Survival of pre-B lymphocytes	6.64E-04	 	 	 	 	TNFSF13B,EBF1	2	
Gene Expression	expression	Expression of RNA	8.34E-04	 	 	 	 	PRKAR2B,SUB1,CXXC1,H2AFY2,DUSP22,RDX,HIST1H1D,EBF1,RUNX1,RPS23,ZFP57,CASP8,JMJD1C	13	
Immunological Disease	systemic autoimmune syndrome	Systemic autoimmune syndrome	8.36E-04	 	 	 	 	TNFSF13B,C6orf15,ADAMTS6,TAP2,ZFP57,PTPRN2,STEAP4,CASP8,JMJD1C	9	
Cell Death and Survival, Hematological System Development and Function	survival	Survival of hematopoietic cells	9.12E-04	 	 	 	 	TNFSF13B,EBF1,RUNX1	3	
Cardiovascular Disease, Organismal Injury and Abnormalities	hemopericardium	Hemopericardium	9.72E-04	 	 	 	 	RUNX1,CASP8	2	
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Humoral Immune Response, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	differentiation	Differentiation of B lymphocytes	1.01E-03	 	 	 	 	TNFSF13B,EBF1,RUNX1,CASP8	4	
Lymphoid Tissue Structure and Development	frequency	Frequency of B lymphocytes	1.04E-03	 	 	 	 	TNFSF13B,RUNX1	2	
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Humoral Immune Response, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	differentiation	Differentiation of pro-B lymphocytes	1.34E-03	 	 	 	 	EBF1,RUNX1	2	
Immunological Disease	immunodeficiency	Immunodeficiency	1.54E-03	 	 	 	 	TNFSF13B,TAP2,RUNX1,CASP8	4	
Tissue Development	activation	Activation of colonic epithelium	1.59E-03	 	 	 	 	NLRP6	1	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	acute myelomonocytic leukemia - eosinophilic variant	Acute myelomonocytic leukemia - eosinophilic variant	1.59E-03	 	 	 	 	RUNX1	1	
Connective Tissue Development and Function	adiposity	Adiposity of bone marrow	1.59E-03	 	 	 	 	EBF1	1	
Cardiovascular System Development and Function, Embryonic Development, Organismal Development, Tissue Development	angiogenesis	Angiogenesis of para-aortic splanchnopleural region	1.59E-03	 	 	 	 	RUNX1	1	
Cell Death and Survival, Organismal Injury and Abnormalities, Respiratory Disease	apoptosis	Apoptosis of bronchiolar cell	1.59E-03	 	 	 	 	CASP8	1	
Cancer, Cell Death and Survival, Organismal Injury and Abnormalities, Tumor Morphology	apoptosis	Apoptosis of chronic myeloid leukemia in blast crisis cells	1.59E-03	 	 	 	 	CASP8	1	
Cancer, Cell Death and Survival, Organismal Injury and Abnormalities, Tumor Morphology	apoptosis	Apoptosis of precursor B cell acute lymphoblastic leukemia cells	1.59E-03	 	 	 	 	CASP8	1	
Cell Cycle, Embryonic Development	cell cycle progression	Arrest in cell cycle progression of mesenchymal stem cells	1.59E-03	 	 	 	 	RUNX1	1	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Tissue Development	differentiation	Arrest in differentiation of macrophages	1.59E-03	 	 	 	 	CASP8	1	
Cancer, Cellular Development, Organismal Injury and Abnormalities, Tumor Morphology	differentiation	Arrest in differentiation of myelomonocytic cells	1.59E-03	 	 	 	 	CASP8	1	
Cellular Function and Maintenance	function	Arrest in function of multipotential hemopoietic progenitor cells	1.59E-03	 	 	 	 	CASP8	1	
Cellular Development, Cellular Growth and Proliferation	growth	Arrest in growth of macrophage cancer cell lines	1.59E-03	 	 	 	 	RUNX1	1	
Connective Tissue Disorders, Immunological Disease, Inflammatory Disease, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	autoantibody-positive systemic lupus erythematosus	Autoantibody-positive systemic lupus erythematosus	1.59E-03	 	 	 	 	TNFSF13B	1	
Developmental Disorder, Hematological Disease, Hereditary Disorder, Immunological Disease, Organismal Injury and Abnormalities	autoimmune lymphoproliferative syndrome type 2B	Autoimmune lymphoproliferative syndrome type 2B	1.59E-03	 	 	 	 	CASP8	1	
Developmental Disorder, Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities	autosomal recessive mental retardation type 39	Autosomal recessive mental retardation type 39	1.59E-03	 	 	 	 	TTI2	1	
Cell Death and Survival	cell death	Cell death of branchial motor neurons	1.59E-03	 	 	 	 	RUNX1	1	
Cancer, Cell Death and Survival, Organismal Injury and Abnormalities, Tumor Morphology	cell death	Cell death of myelomonocytic cells	1.59E-03	 	 	 	 	CASP8	1	
Cell Death and Survival	cell death	Cell death of visceral motor neurons	1.59E-03	 	 	 	 	RUNX1	1	
Cell Death and Survival, Hematological System Development and Function	cell survival	Cell survival of peripheral B lymphocytes	1.59E-03	 	 	 	 	TNFSF13B	1	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	chronic myeloid leukemia acute transformation	Chronic myeloid leukemia acute transformation	1.59E-03	 	 	 	 	RUNX1	1	
Cellular Development, Hematological System Development and Function, Hematopoiesis	commitment	Commitment of lymphohematopoietic progenitor cells	1.59E-03	 	 	 	 	EBF1	1	
Cancer, Cell Cycle, Cellular Movement, Organismal Injury and Abnormalities	cytokinesis	Cytokinesis of B cell lymphoma cells	1.59E-03	 	 	 	 	CASP8	1	
Cell-To-Cell Signaling and Interaction, Cellular Compromise	degeneration	Degeneration of stereocilia	1.59E-03	 	 	 	 	RDX	1	
Connective Tissue Development and Function, Tissue Development	deposition	Deposition of white adipose tissue	1.59E-03	 	 	 	 	EBF1	1	
Gastrointestinal Disease, Organ Morphology, Organismal Injury and Abnormalities	destruction	Destruction of submandibular gland	1.59E-03	 	 	 	 	TNFSF13B	1	
Cellular Development, Nervous System Development and Function, Tissue Development	differentiation	Differentiation of branchial motor neurons	1.59E-03	 	 	 	 	RUNX1	1	
Cancer, Cellular Development, Organismal Injury and Abnormalities	differentiation	Differentiation of rhabdomyosarcoma cells	1.59E-03	 	 	 	 	RUNX1	1	
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Humoral Immune Response, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	differentiation	Differentiation of transitional type 2 B lymphocytes	1.59E-03	 	 	 	 	TNFSF13B	1	
Cardiovascular System Development and Function, Cellular Development, Cellular Growth and Proliferation, Connective Tissue Development and Function, Hematological System Development and Function, Hematopoiesis, Organismal Development, Tissue Development	erythropoiesis	Erythropoiesis of induced pluripotent stem cells	1.59E-03	 	 	 	 	RUNX1	1	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Inflammatory Response, Lymphoid Tissue Structure and Development	expansion	Expansion of colony-forming unit macrophages	1.59E-03	 	 	 	 	RUNX1	1	
Cell Cycle	G0/G1 phase transition	G0/G1 phase transition of bulge cells	1.59E-03	 	 	 	 	RUNX1	1	
Cell Cycle	G1/S phase transition	G1/S phase transition of bulge cells	1.59E-03	 	 	 	 	RUNX1	1	
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Humoral Immune Response, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	generation	Generation of pre-pro-B lymphocytes	1.59E-03	 	 	 	 	EBF1	1	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Tissue Development	granulopoiesis	Granulopoiesis of colony-forming units granulocytes	1.59E-03	 	 	 	 	RUNX1	1	
Cardiovascular System Development and Function, Cellular Development, Cellular Growth and Proliferation, Connective Tissue Development and Function, Hematological System Development and Function, Hematopoiesis, Organismal Development, Tissue Development	hematopoiesis	Hematopoiesis of colony-forming erythroid cells	1.59E-03	 	 	 	 	RUNX1	1	
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Organismal Development, Tissue Development	hematopoiesis	Hematopoiesis of para-aortic splanchnopleural cells	1.59E-03	 	 	 	 	RUNX1	1	
Cell-mediated Immune Response, Cellular Function and Maintenance, Hematological System Development and Function	homeostasis	Homeostasis of peripheral T lymphocyte	1.59E-03	 	 	 	 	CASP8	1	
Hematological Disease, Metabolic Disease	hypotriglyceridemia	Hypotriglyceridemia	1.59E-03	 	 	 	 	EBF1	1	
Cellular Development, Connective Tissue Development and Function, Tissue Development	differentiation	Initiation of differentiation of adipocytes	1.59E-03	 	 	 	 	EBF1	1	
Cellular Development, Connective Tissue Development and Function	differentiation	Initiation of differentiation of fibroblast cell lines	1.59E-03	 	 	 	 	EBF1	1	
Cell Death and Survival	loss	Loss of bone marrow-derived dendritic cells	1.59E-03	 	 	 	 	CASP8	1	
Cellular Development, Hematological System Development and Function, Hematopoiesis, Tissue Development	maturation	Maturation of granulocyte-macrophage progenitor cells	1.59E-03	 	 	 	 	RUNX1	1	
Cellular Movement	migration	Migration by dopaminergic neurons	1.59E-03	 	 	 	 	EBF1	1	
Cell Death and Survival	necroptosis	Necroptosis of T lymphocytes	1.59E-03	 	 	 	 	CASP8	1	
Organismal Injury and Abnormalities	pedal edema	Pedal edema	1.59E-03	 	 	 	 	CASP8	1	
Cellular Compromise	permeability transition	Permeability transition of breast cancer cell lines	1.59E-03	 	 	 	 	CASP8	1	
Hematological Disease, Hereditary Disorder, Organismal Injury and Abnormalities	platelet-type bleeding disorder type 15	Platelet-type bleeding disorder type 15	1.59E-03	 	 	 	 	ACTN1	1	
Cell Cycle	quiescence	Quiescence of ovarian cancer cell lines	1.59E-03	 	 	 	 	PRKAR2B	1	
Cell Cycle	S phase	Re-entry into S phase of leukocyte cell lines	1.59E-03	 	 	 	 	RUNX1	1	
Hematological Disease, Organismal Injury and Abnormalities	reactive thrombocytosis	Reactive thrombocytosis	1.59E-03	 	 	 	 	RUNX1	1	
Organ Morphology, Tissue Development, Tissue Morphology	regeneration	Regeneration of colonic mucosa	1.59E-03	 	 	 	 	NLRP6	1	
Cardiovascular Disease, Connective Tissue Disorders, Hematological Disease, Organismal Injury and Abnormalities	secondary erythrocytosis	Secondary erythrocytosis	1.59E-03	 	 	 	 	RUNX1	1	
Cell Death and Survival, Hematological System Development and Function	survival	Survival of transitional type 2 B lymphocytes	1.59E-03	 	 	 	 	TNFSF13B	1	
Cell Death and Survival, Hematological System Development and Function	survival	Survival of transitional type 3 B lymphocytes	1.59E-03	 	 	 	 	TNFSF13B	1	
Connective Tissue Development and Function, Tissue Morphology	quantity	Quantity of connective tissue	1.77E-03	 	 	 	 	C6orf15,PRKAR2B,EBF1,RUNX1,STEAP4,CASP8	6	
Gastrointestinal Disease, Immunological Disease, Ophthalmic Disease, Organismal Injury and Abnormalities	primary Sjögren syndrome	Primary Sjögren syndrome	1.85E-03	 	 	 	 	TNFSF13B,TAP2	2	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Humoral Immune Response, Immune Cell Trafficking, Inflammatory Response	activation	Activation of B lymphocytes	1.87E-03	 	 	 	 	TNFSF13B,EBF1,CASP8	3	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Tissue Development	differentiation	Differentiation of neutrophils	1.94E-03	 	 	 	 	DHRS7B,RUNX1	2	
Connective Tissue Disorders, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	inflammation	Inflammation of joint	1.98E-03	 	 	 	 	TNFSF13B,C6orf15,ADAMTS6,TAP2,PTPRN2,STEAP4,CASP8,JMJD1C	8	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Tissue Development	differentiation	Differentiation of phagocytes	1.99E-03	 	 	 	 	DHRS7B,EBF1,RUNX1,CASP8	4	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Humoral Immune Response, Lymphoid Tissue Structure and Development	expansion	Expansion of B lymphocytes	2.04E-03	 	 	 	 	TNFSF13B,EBF1	2	
Gene Expression	transcription	Transcription of RNA	2.08E-03	 	 	 	 	HIST1H1D,PRKAR2B,EBF1,RUNX1,SUB1,CXXC1,H2AFY2,ZFP57,DUSP22,CASP8,JMJD1C	11	
Hematological System Development and Function, Immunological Disease, Lymphoid Tissue Structure and Development, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Tissue Morphology	abnormal morphology	Abnormal morphology of thymus gland	2.08E-03	 	 	 	 	HIST1H1D,RUNX1,CASP8	3	
Endocrine System Development and Function	glucose tolerance	Glucose tolerance	2.21E-03	 	 	 	 	PRKAR2B,PTPRN2,STEAP4,CASP8	4	
Cardiovascular Disease, Organismal Injury and Abnormalities	peripheral arterial disease	Advanced stage peripheral arterial disease	2.27E-03	 	 	 	 	SUB1,RUNX1,CASP8	3	
Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Tissue Morphology	quantity	Quantity of myeloid progenitor cells	2.33E-03	 	 	 	 	RUNX1,CASP8	2	
Endocrine System Disorders, Gastrointestinal Disease, Immunological Disease, Metabolic Disease, Organismal Injury and Abnormalities	insulin-dependent diabetes mellitus	Insulin-dependent diabetes mellitus	2.35E-03	 	 	 	 	TNFSF13B,C6orf15,ADAMTS6,TAP2,ZFP57	5	
Embryonic Development, Tissue Morphology	remodeling	Remodeling of vitelline vessel	2.44E-03	 	 	 	 	RUNX1,CASP8	2	
Cardiovascular System Development and Function, Cellular Development, Cellular Growth and Proliferation, Connective Tissue Development and Function, Hematological System Development and Function, Hematopoiesis, Organismal Development, Tissue Development	thrombopoiesis	Thrombopoiesis	2.44E-03	 	 	 	 	ACTN1,CASP8	2	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	activation	Activation of lymphocytes	2.60E-03	 	 	 	 	TNFSF13B,EBF1,RUNX1,DUSP22,CASP8	5	
Cardiovascular Disease, Organismal Injury and Abnormalities	peripheral arterial disease	Intermediate disease stage peripheral arterial disease	2.64E-03	 	 	 	 	SUB1,RUNX1,CASP8	3	
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Humoral Immune Response, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	differentiation	Arrest in differentiation of B lymphocytes	2.65E-03	 	 	 	 	TNFSF13B,EBF1	2	
Cell Death and Survival	cell viability	Cell viability of blood cells	2.83E-03	 	 	 	 	TNFSF13B,EBF1,RUNX1,CASP8	4	
Connective Tissue Disorders, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	non-traumatic arthropathy	Non-traumatic arthropathy	2.91E-03	 	 	 	 	TNFSF13B,C6orf15,ADAMTS6,TAP2,PTPRN2,STEAP4,JMJD1C	7	
Cell Death and Survival, Organismal Injury and Abnormalities	anoikis	Anoikis of vascular endothelial cells	3.18E-03	 	 	 	 	RDX	1	
Cellular Development	differentiation	Arrest in differentiation of lymphoma cell lines	3.18E-03	 	 	 	 	RUNX1	1	
Cell Cycle, Gene Expression	binding	Binding of AML1 binding site	3.18E-03	 	 	 	 	RUNX1	1	
Gastrointestinal Disease, Organ Morphology, Organismal Injury and Abnormalities	destruction	Destruction of intestinal villus	3.18E-03	 	 	 	 	CASP8	1	
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Humoral Immune Response, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	development	Development of transitional type 1 B lymphocytes	3.18E-03	 	 	 	 	TNFSF13B	1	
Cellular Development, Tissue Development, Visual System Development and Function	differentiation	Differentiation of horizontal cells	3.18E-03	 	 	 	 	EBF1	1	
Cardiovascular System Development and Function, Cellular Development, Cellular Growth and Proliferation, Connective Tissue Development and Function, Hematological System Development and Function, Hematopoiesis, Organismal Development, Tissue Development	expansion	Expansion of erythroid cells	3.18E-03	 	 	 	 	RUNX1	1	
Cancer, Hematological Disease, Hereditary Disorder, Immunological Disease, Organismal Injury and Abnormalities	familial acute myeloid leukemia	Familial acute myeloid leukemia	3.18E-03	 	 	 	 	RUNX1	1	
Small Molecule Biochemistry	excretion	Increased excretion of bilirubin	3.18E-03	 	 	 	 	RDX	1	
Cardiovascular System Development and Function, Organismal Development	network formation	Network formation of endothelial progenitor cells	3.18E-03	 	 	 	 	RUNX1	1	
Skeletal and Muscular System Development and Function	ossification	Ossification by calvarial cells	3.18E-03	 	 	 	 	EBF1	1	
Cellular Assembly and Organization, Cellular Development, Cellular Growth and Proliferation, Nervous System Development and Function, Tissue Development	outgrowth	Outgrowth of growth cone	3.18E-03	 	 	 	 	TNFSF13B	1	
Hematological System Development and Function, Tissue Morphology	quantity	Quantity of colony forming unit myeloid cell	3.18E-03	 	 	 	 	RUNX1	1	
Cellular Assembly and Organization, Cellular Function and Maintenance, Nervous System Development and Function, Tissue Morphology	quantity	Quantity of radial cellular projections	3.18E-03	 	 	 	 	RDX	1	
Inflammatory Disease, Inflammatory Response, Skeletal and Muscular Disorders	myositis	Refractory myositis	3.18E-03	 	 	 	 	TNFSF13B	1	
Hematological System Development and Function, Lymphoid Tissue Structure and Development, Organ Morphology, Organismal Development, Tissue Morphology	size	Size of marginal zone of spleen	3.18E-03	 	 	 	 	TNFSF13B	1	
Cell Morphology, Embryonic Development	surface area	Surface area of embryonic cell lines	3.18E-03	 	 	 	 	CLNS1A	1	
Cell Morphology, Hair and Skin Development and Function	surface area	Surface area of epithelial cell lines	3.18E-03	 	 	 	 	CLNS1A	1	
Cell Morphology, Renal and Urological System Development and Function	surface area	Surface area of kidney cell lines	3.18E-03	 	 	 	 	CLNS1A	1	
Cell Death and Survival, Hematological System Development and Function	survival	Survival of plasmablasts	3.18E-03	 	 	 	 	TNFSF13B	1	
Cell Death and Survival	cell death	Cell death of macrophage cancer cell lines	3.22E-03	 	 	 	 	RUNX1,CASP8	2	
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Organismal Development, Tissue Development	hematopoiesis	Hematopoiesis in embryo	3.98E-03	 	 	 	 	RUNX1,CASP8	2	
Lymphoid Tissue Structure and Development, Tissue Morphology	quantity	Quantity of bone marrow cells	4.08E-03	 	 	 	 	EBF1,RUNX1,CASP8	3	
Cell Death and Survival	cell death	Cell death of leukemia cell lines	4.18E-03	 	 	 	 	TNFSF13B,RUNX1,RDX,CASP8	4	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Lymphoid Tissue Structure and Development	expansion	Expansion of lymphocytes	4.54E-03	 	 	 	 	TNFSF13B,EBF1,CASP8	3	
Cell-To-Cell Signaling and Interaction, Connective Tissue Development and Function, Skeletal and Muscular System Development and Function, Tissue Development	activation	Activation of osteoclasts	4.66E-03	 	 	 	 	EBF1,RUNX1	2	
Nervous System Development and Function, Neurological Disease, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of ventral striatum	4.77E-03	 	 	 	 	EBF1	1	
Tissue Development	accumulation	Accumulation of multilineage progenitor cells	4.77E-03	 	 	 	 	RUNX1	1	
Cell Death and Survival	anoikis	Anoikis of stomach cancer cell lines	4.77E-03	 	 	 	 	CASP8	1	
Cell Death and Survival	apoptosis	Apoptosis of B-1 lymphocytes	4.77E-03	 	 	 	 	TNFSF13B	1	
Cellular Development	differentiation	Arrest in differentiation of bone marrow cell lines	4.77E-03	 	 	 	 	RUNX1	1	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Tissue Development	differentiation	Arrest in differentiation of granulocytes	4.77E-03	 	 	 	 	RUNX1	1	
Cellular Development	differentiation	Arrest in differentiation of hematopoietic cell lines	4.77E-03	 	 	 	 	RUNX1	1	
Developmental Disorder, Hereditary Disorder, Immunological Disease, Metabolic Disease, Organismal Injury and Abnormalities	bare lymphocyte syndrome, type i	Bare lymphocyte syndrome, type i	4.77E-03	 	 	 	 	TAP2	1	
Cell Cycle, Gene Expression	binding	Binding of CBFb binding site	4.77E-03	 	 	 	 	RUNX1	1	
Cell Death and Survival	cell death	Cell death of endothelioma cell lines	4.77E-03	 	 	 	 	CASP8	1	
Carbohydrate Metabolism, Lipid Metabolism, Small Molecule Biochemistry	dephosphorylation	Dephosphorylation of phosphtidylinositol 5-phosphate	4.77E-03	 	 	 	 	PTPRN2	1	
Cellular Development, Tissue Development, Visual System Development and Function	differentiation	Differentiation of retinal progenitor cells	4.77E-03	 	 	 	 	EBF1	1	
Cellular Development, Embryonic Development, Nervous System Development and Function, Organ Development, Organismal Development, Tissue Development, Visual System Development and Function	differentiation	Differentiation of type 2 OFF-cone bipolar cells	4.77E-03	 	 	 	 	EBF1	1	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis	expansion	Expansion of short-term hematopoietic stem cells	4.77E-03	 	 	 	 	RUNX1	1	
Hematopoiesis, Lymphoid Tissue Structure and Development	frequency	Frequency of pro-B lymphocytes	4.77E-03	 	 	 	 	RUNX1	1	
Cancer, Neurological Disease, Organismal Injury and Abnormalities	grade I astrocytoma	Grade I astrocytoma	4.77E-03	 	 	 	 	ACTN1	1	
Cellular Assembly and Organization	linkage	Linkage of actin cytoskeleton	4.77E-03	 	 	 	 	RDX	1	
Cellular Movement, Nervous System Development and Function	migration	Migration of facial branchiomotor neurons	4.77E-03	 	 	 	 	EBF1	1	
Digestive System Development and Function, Organismal Development	production	Production of saliva	4.77E-03	 	 	 	 	TNFSF13B	1	
Hematological System Development and Function, Hematopoiesis, Inflammatory Response, Tissue Morphology	quantity	Quantity of promonocytes	4.77E-03	 	 	 	 	RUNX1	1	
Tissue Morphology	quantity	Quantity of stem cell lines	4.77E-03	 	 	 	 	RUNX1	1	
Cardiovascular Disease, Organismal Injury and Abnormalities, Reproductive System Disease	early-onset preeclampsia	Severe early-onset preeclampsia	4.77E-03	 	 	 	 	CASP8	1	
Cell Death and Survival, Hematological System Development and Function	survival	Survival of marginal-zone B lymphocytes	4.77E-03	 	 	 	 	TNFSF13B	1	
Cell Death and Survival, Hematological System Development and Function	survival	Survival of transitional B lymphocytes	4.77E-03	 	 	 	 	TNFSF13B	1	
Cancer, Developmental Disorder, Hematological Disease, Organismal Injury and Abnormalities	transient myeloproliferative disorder of Down syndrome	Transient myeloproliferative disorder of Down syndrome	4.77E-03	 	 	 	 	RUNX1	1	
Hematological Disease, Hereditary Disorder, Organismal Injury and Abnormalities	hereditary bleeding disorder	Hereditary bleeding disorder	4.81E-03	 	 	 	 	RUNX1,ACTN1	2	
Connective Tissue Development and Function, Tissue Morphology	quantity	Quantity of subcutaneous fat	5.25E-03	 	 	 	 	EBF1,STEAP4	2	
Cell Death and Survival	cell death	Cell death of motor neurons	5.55E-03	 	 	 	 	RUNX1,CASP8	2	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Tissue Development	differentiation	Differentiation of hematopoietic progenitor cells	5.69E-03	 	 	 	 	TNFSF13B,EBF1,RUNX1,CASP8	4	
Cell Death and Survival, Hematological System Development and Function	cell viability	Cell viability of lymphocytes	6.05E-03	 	 	 	 	TNFSF13B,EBF1,CASP8	3	
Hematological System Development and Function, Immunological Disease, Lymphoid Tissue Structure and Development, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Tissue Morphology	abnormal morphology	Abnormal morphology of thymus lobule	6.35E-03	 	 	 	 	RUNX1	1	
Cancer, Cell Death and Survival, Organismal Injury and Abnormalities, Tumor Morphology	apoptosis	Apoptosis of follicular B-cell lymphoma cells	6.35E-03	 	 	 	 	CASP8	1	
Cell Death and Survival, Skeletal and Muscular Disorders	apoptosis	Apoptosis of microvascular smooth muscle cells	6.35E-03	 	 	 	 	CASP8	1	
Cancer, Cellular Development, Organismal Injury and Abnormalities, Tumor Morphology	differentiation	Arrest in differentiation of acute leukemia cells	6.35E-03	 	 	 	 	RUNX1	1	
Respiratory Disease	clearance	Clearance of alveolar fluid	6.35E-03	 	 	 	 	CASP8	1	
Cellular Compromise	degeneration	Degeneration of nervous tissue cell lines	6.35E-03	 	 	 	 	CASP8	1	
Carbohydrate Metabolism, Lipid Metabolism, Small Molecule Biochemistry	dephosphorylation	Dephosphorylation of phosphatidylinositol 3,5-diphosphate	6.35E-03	 	 	 	 	PTPRN2	1	
Carbohydrate Metabolism, Lipid Metabolism, Small Molecule Biochemistry	dephosphorylation	Dephosphorylation of phosphatidylinositol 4-phosphate	6.35E-03	 	 	 	 	PTPRN2	1	
Cellular Development, Nervous System Development and Function, Tissue Development	differentiation	Differentiation of visceral motor neurons	6.35E-03	 	 	 	 	RUNX1	1	
Drug Metabolism, Molecular Transport, Small Molecule Biochemistry	efflux	Efflux of vinblastine	6.35E-03	 	 	 	 	RDX	1	
Cell-mediated Immune Response, Cellular Movement, Hematological System Development and Function, Hematopoiesis, Immune Cell Trafficking	emigration	Emigration of thymocytes	6.35E-03	 	 	 	 	RUNX1	1	
Drug Metabolism, Molecular Transport, Small Molecule Biochemistry	excretion	Excretion of epinephrine	6.35E-03	 	 	 	 	PTPRN2	1	
