© 2000-2017 QIAGEN. All rights reserved.

Analysis Details for My Projects->Alicia-IPA->OlderChildren-Combined - 2017-12-07 12:37 PM
Workspace	My Projects
Project	Alicia-IPA
Analysis	OlderChildren-Combined - 2017-12-07 12:37 PM
Date	Thu Dec 07 09:38:01 PST 2017
Analysis ID	15776121

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->Alicia-IPA->OlderChildren-Combined - 2017-12-07 12:37 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
OlderChildren-Combined - 2017-12-07 12:37 PM	 	HIF1A	transcription regulator	 	 	 	 	 	2.41E-03	BNIP3L,CITED2,DDIT4,ENG,GPI,HK2,KRT19,MITF,ST3GAL1	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	HGF	growth factor	 	 	 	 	 	2.82E-03	ANGPT2,BAG2,EHF,HK2,IL4,IL5RA,KRT19,PMP22,PSMC3IP,SLC7A1	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	TP53	transcription regulator	 	 	 	 	 	3.06E-03	ATL3,CITED2,CSRP1,CTSB,DDIT4,DICER1,ENG,GPI,HK2,IGF1R,IL4,IL5RA,LPIN1,mir-1205,NR0B2,PPP2CA,PRKCZ,RBL2,RPS6KA2,STEAP3,TANK	FOXO3,HIF1A,PI3K (complex),TP53,TP63	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	MKL2	transcription regulator	 	 	 	 	 	3.07E-03	EPX,PRG2,PRG3,ZFPM1	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	BHLHE41	transcription regulator	 	 	 	 	 	3.17E-03	HK2,IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	Vegf	group	 	 	 	 	 	3.25E-03	ANGPT2,BAG2,EHF,HK2,IL4,IL5RA,LRIG1,PMP22,PSMC3IP,SLC7A1	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	mir-122	microrna	 	 	 	 	 	3.63E-03	CS,CSRP1,PPP2CA,SLC7A1	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	dimethylnitrosamine	chemical toxicant	 	 	 	 	 	4.04E-03	PRKCH,PRKCZ,RALB	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	IL5	cytokine	 	 	 	 	 	4.07E-03	ACP5,BNIP3L,CITED2,IL4,IL5RA,MS4A2,PMP22	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	beta-estradiol	chemical - endogenous mammalian	 	 	 	 	 	4.23E-03	ACP5,BNIP3L,CITED2,CTSB,DDIT4,EMG1,IGF1R,IL4,IRF6,ITIH4,KRT19,LPCAT2,LPIN1,NR0B2,OSBPL3,PMP22,PPP2CA,PRKCH,PRKCZ,RBL2,SIGLEC8,TANK,TFF2	TP53,TP63,beta-estradiol	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	YWHAG	other	 	 	 	 	 	4.33E-03	GPI,NAPA	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	iloprost	chemical drug	 	 	 	 	 	4.33E-03	ANGPT2,IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	methoxsalen	chemical drug	 	 	 	 	 	4.33E-03	IL4,MITF	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	miR-100-5p (and other miRNAs w/seed ACCCGUA)	mature microrna	 	 	 	 	 	4.33E-03	IGF1R,RPTOR	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	MAP3K8	kinase	 	 	 	 	 	4.44E-03	GPR176,IGF1R,IL4,IRF2BPL,KIF5C	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	EGR2	transcription regulator	 	 	 	 	 	4.69E-03	BNIP3L,IL4,PMP22,PPP2CA,PPT2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	PI3K (complex)	complex	 	 	 	 	 	4.92E-03	DDIT4,HK2,IGF1R,IL4,MITF,PRKCZ,RBL2	ERK1/2,FOXO1,FOXO3,MTOR,PI3K (complex),TP53	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	ERK1/2	group	 	 	 	 	 	5.39E-03	ANGPT2,CTSB,HK2,IGF1R,IL4,KCNH2,PRKCZ	ERK1/2,TP53,TP63	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	epigallocatechin-gallate	chemical drug	 	 	 	 	 	5.56E-03	ACP5,ANGPT2,DAPK2,EPX,IGF1R,PRG2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	PD98059	chemical - kinase inhibitor	 	 	 	 	 	6.05E-03	ACOT7,ANGPT2,CTSB,ENG,GPI,IGF1R,IL4,KRT19,MITF,PCYT1A	ERK1/2,PD98059,TP53	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	Creb	group	 	 	 	 	 	6.21E-03	CSRP1,CTSB,MITF,NDFIP2,OSBPL3,PPP2CA,PSMC3IP	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	carbonyl cyanide m-chlorophenyl hydrazone	chemical toxicant	 	 	 	 	 	6.39E-03	DDIT4,HK2,IGF1R	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	mono-(2-ethylhexyl)phthalate	chemical toxicant	 	 	 	 	 	6.45E-03	CS,DDIT4,GPI,HK2,PGAM2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	D-glucose	chemical - endogenous mammalian	 	 	 	 	 	6.68E-03	ANGPT2,CTSB,DDIT4,FBP1,GPI,HK2,IGF1R,KIF5C,PRKCZ,SLC7A1	D-glucose,ERK1/2,FOXO1,FOXO3,PI3K (complex),TP53	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	MTOR	kinase	 	 	 	 	 	6.89E-03	CITED2,CS,DDIT4,HK2,IL4,PPP2CA,PRKCZ	FOXO3,MTOR,PI3K (complex),TP53,TP63	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	2210013O21Rik	other	 	 	 	 	 	7.12E-03	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	CDC42BPB	kinase	 	 	 	 	 	7.12E-03	CTSB	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	Cd1d2	other	 	 	 	 	 	7.12E-03	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	DNASE1	enzyme	 	 	 	 	 	7.12E-03	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	IMPDH1	enzyme	 	 	 	 	 	7.12E-03	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	PCGF5	other	 	 	 	 	 	7.12E-03	MCC	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	PF-4523655	biologic drug	 	 	 	 	 	7.12E-03	DDIT4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	RNF207	other	 	 	 	 	 	7.12E-03	KCNH2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	Rep1	other	 	 	 	 	 	7.12E-03	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	SLC51B	transporter	 	 	 	 	 	7.12E-03	NR0B2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	Stat6 dimer	complex	 	 	 	 	 	7.12E-03	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	UGT2B4	enzyme	 	 	 	 	 	7.12E-03	NR0B2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	ZNF287	transcription regulator	 	 	 	 	 	7.12E-03	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	miR-615-5p (and other miRNAs w/seed GGGGUCC)	mature microrna	 	 	 	 	 	7.12E-03	KRT19	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	mir-493	microrna	 	 	 	 	 	7.12E-03	IGF1R	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	PPARGC1B	transcription regulator	 	 	 	 	 	7.45E-03	CS,HK2,MITF	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	genistein	chemical drug	 	 	 	 	 	7.70E-03	ABCB9,ACP5,CITED2,CTSB,HEXA,IGF1R,OSBPL3,VPS52	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	MTM1	phosphatase	 	 	 	 	 	7.96E-03	BNIP3L,IGF1R	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	NR4A1	ligand-dependent nuclear receptor	 	 	 	 	 	8.22E-03	EHF,FBP1,IL4,LPIN1,PGAM2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	SHH	peptidase	 	 	 	 	 	8.22E-03	ANGPT2,HK2,IL4,PMP22,PSMC3IP	ERK1/2,SHH,TP53	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	MBD2	transcription regulator	 	 	 	 	 	8.60E-03	HK2,IL4,TFF2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	IL4	cytokine	 	 	 	 	 	9.26E-03	ACP5,BNIP3L,CITED2,HK2,IGF1R,IL4,IL5RA,MS4A2,PMP22,PTGDR2,SLC25A25,TMEM131,TNIK	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	NR4A3	ligand-dependent nuclear receptor	 	 	 	 	 	9.42E-03	FBP1,IL4,LPIN1	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	BCOR	transcription regulator	 	 	 	 	 	9.68E-03	ARID3A,BANK1	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	NTN1	other	 	 	 	 	 	9.68E-03	CTSB,IL4	ERK1/2,NTN1,TP53	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	ARNT	transcription regulator	 	 	 	 	 	1.04E-02	CITED2,ENG,GPI,HK2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	IL3	cytokine	 	 	 	 	 	1.05E-02	BNIP3L,CITED2,HK2,IL4,IL5RA,MS4A2,PRG2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	IPMK	kinase	 	 	 	 	 	1.06E-02	CSRP1,PMP22	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	SKI	transcription regulator	 	 	 	 	 	1.06E-02	MITF,PMP22	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	phorbol myristate acetate	chemical drug	 	 	 	 	 	1.12E-02	ANGPT2,BNIP3L,CTSB,DDIT4,FOXP1,IKZF3,IL4,MITF,NDFIP2,PRKCH,PRKCZ,SIGLEC8,SLC7A1,ST3GAL1,TFF2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	FAM3B	cytokine	 	 	 	 	 	1.16E-02	DAPK2,KRT19	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	RC3H1	enzyme	 	 	 	 	 	1.16E-02	IL4,IL5RA	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	desipramine	chemical drug	 	 	 	 	 	1.16E-02	IL4,KCNH2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	miR-122-5p (miRNAs w/seed GGAGUGU)	mature microrna	 	 	 	 	 	1.17E-02	CS,FOXP1,SLC7A1	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	AZGP1	transporter	 	 	 	 	 	1.25E-02	HK2,KRT19	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	MTA2	transcription regulator	 	 	 	 	 	1.25E-02	IL4,MS4A2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	SAFB2	other	 	 	 	 	 	1.25E-02	HEXA,SAFB2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	PPP3CA	phosphatase	 	 	 	 	 	1.32E-02	CSRP1,IGF1R,PMP22	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	APC	enzyme	 	 	 	 	 	1.33E-02	CS,HK2,KCNH2,PRKCZ	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	ELF1	transcription regulator	 	 	 	 	 	1.36E-02	CITED2,IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	3,7,12-trihydroxycoprostanic acid	chemical - endogenous non-mammalian	 	 	 	 	 	1.42E-02	NR0B2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	3alpha,7alpha-dihydroxy-5beta-cholestanic acid	chemical - endogenous mammalian	 	 	 	 	 	1.42E-02	NR0B2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	4-[(4'-chloro-2'-fluoro)phenylamino]-6,7-dimethoxyquinazoline	chemical - kinase inhibitor	 	 	 	 	 	1.42E-02	ANGPT2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	5beta-cholestane-3alpha,7alpha,12alpha,25-tetrol	chemical - endogenous mammalian	 	 	 	 	 	1.42E-02	NR0B2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	Alpha 1 antitrypsin	group	 	 	 	 	 	1.42E-02	CTSB	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	CD200R1L	other	 	 	 	 	 	1.42E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	Cd200r3	other	 	 	 	 	 	1.42E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	EDF1	transcription regulator	 	 	 	 	 	1.42E-02	NR0B2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	EGOT	other	 	 	 	 	 	1.42E-02	RNASE2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	FGL2	peptidase	 	 	 	 	 	1.42E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	GABA-A receptor	complex	 	 	 	 	 	1.42E-02	PMP22	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	GUCY	group	 	 	 	 	 	1.42E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	HEXB	enzyme	 	 	 	 	 	1.42E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	HSPE1	enzyme	 	 	 	 	 	1.42E-02	IGF1R	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	LCMT1	enzyme	 	 	 	 	 	1.42E-02	PPP2CA	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	MID1	other	 	 	 	 	 	1.42E-02	PPP2CA	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	NFATC2IP	other	 	 	 	 	 	1.42E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	NIBR-14	chemical reagent	 	 	 	 	 	1.42E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	PRG2	other	 	 	 	 	 	1.42E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	SLC22A3	transporter	 	 	 	 	 	1.42E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	TLE6	other	 	 	 	 	 	1.42E-02	ACP5	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	TXNDC5	enzyme	 	 	 	 	 	1.42E-02	CTSB	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	ZP3	transporter	 	 	 	 	 	1.42E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	cholestane-3,7,26-triol	chemical - endogenous mammalian	 	 	 	 	 	1.42E-02	NR0B2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	dihydrolipoic acid	chemical - endogenous mammalian	 	 	 	 	 	1.42E-02	MITF	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	guggulu extract	chemical - endogenous non-mammalian	 	 	 	 	 	1.42E-02	NR0B2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	mir-504	microrna	 	 	 	 	 	1.42E-02	FOXP1	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	saponin	chemical - other	 	 	 	 	 	1.42E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	tolnaftate	chemical drug	 	 	 	 	 	1.42E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	ATM	kinase	 	 	 	 	 	1.42E-02	IGF1R,IL4,LPIN1	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	ZFPM1	transcription regulator	 	 	 	 	 	1.42E-02	IL4,MS4A2,PRG2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	ADORA2A	g-protein coupled receptor	 	 	 	 	 	1.44E-02	GPI,IL4,NAPA,PPP2CA	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	Sos	group	 	 	 	 	 	1.49E-02	ARID3A,ATP2C1,DAP,DAPK2,RALB	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	MKL1	transcription regulator	 	 	 	 	 	1.52E-02	EPX,PRG2,PRG3,ZFPM1	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	CTSB	peptidase	 	 	 	 	 	1.57E-02	CTSB,IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	ESRRB	ligand-dependent nuclear receptor	 	 	 	 	 	1.57E-02	HK2,NR0B2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	SYVN1	transporter	 	 	 	 	 	1.63E-02	CYB561,IGF1R,NDFIP2,POLR2B	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	halofuginone	chemical drug	 	 	 	 	 	1.63E-02	ACP5,MS4A2,PMP22,STEAP3	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	SREBF1	transcription regulator	 	 	 	 	 	1.64E-02	ELOVL7,HK2,LPIN1,NR0B2,PCYT1A	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	formaldehyde	chemical - endogenous mammalian	 	 	 	 	 	1.69E-02	IGF1R,IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	indican	chemical - endogenous mammalian	 	 	 	 	 	1.69E-02	ANGPT2,CITED2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	sterol	chemical - endogenous mammalian	 	 	 	 	 	1.69E-02	LPIN1,PCYT1A	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	NR0B2	ligand-dependent nuclear receptor	 	 	 	 	 	1.70E-02	FBP1,LPIN1,NR0B2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	B2M	transmembrane receptor	 	 	 	 	 	1.80E-02	IGF1R,IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	STAT6	transcription regulator	 	 	 	 	 	1.87E-02	ACP5,CTSB,IL4,SLC25A25,TMEM131,TNIK	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	NFAT5	transcription regulator	 	 	 	 	 	1.92E-02	DDIT4,IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	PRKCQ	kinase	 	 	 	 	 	1.92E-02	IL4,PRKCH	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	SOX10	transcription regulator	 	 	 	 	 	1.92E-02	MITF,PMP22	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	ADRB	group	 	 	 	 	 	1.93E-02	BNIP3L,DDIT4,LPIN1,RBL2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	metformin	chemical drug	 	 	 	 	 	1.97E-02	DDIT4,DICER1,IGF1R,NR0B2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	LYN	kinase	 	 	 	 	 	2.02E-02	IL4,IL5RA,MITF	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	4-tert-octylphenol	chemical toxicant	 	 	 	 	 	2.05E-02	ITIH4,TANK	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	ABCG1	transporter	 	 	 	 	 	2.05E-02	IL4,IL5RA	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	HOXC8	transcription regulator	 	 	 	 	 	2.05E-02	KRT19,PMP22	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	INPP5D	phosphatase	 	 	 	 	 	2.05E-02	IL4,MITF	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	TG	other	 	 	 	 	 	2.05E-02	ANGPT2,IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	bafilomycin A1	chemical drug	 	 	 	 	 	2.05E-02	KCNH2,SLC7A1	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	RB1	transcription regulator	 	 	 	 	 	2.06E-02	ANGPT2,CITED2,IGF1R,MECR,PGAM2,PPT2,RBL2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	isobutylmethylxanthine	chemical toxicant	 	 	 	 	 	2.06E-02	IGF1R,IL4,MITF,RBL2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	AA-861	chemical reagent	 	 	 	 	 	2.12E-02	IGF1R	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	ABCB11	transporter	 	 	 	 	 	2.12E-02	NR0B2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	CACNA1S	ion channel	 	 	 	 	 	2.12E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	EBF3	transcription regulator	 	 	 	 	 	2.12E-02	ADCY3	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	EPX	enzyme	 	 	 	 	 	2.12E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	HPRT1	enzyme	 	 	 	 	 	2.12E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	KMT2C	transcription regulator	 	 	 	 	 	2.12E-02	NR0B2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	LOC290071	other	 	 	 	 	 	2.12E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	MARK3	kinase	 	 	 	 	 	2.12E-02	ACP5	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	SLC6A14	transporter	 	 	 	 	 	2.12E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	SLC7A5	transporter	 	 	 	 	 	2.12E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	STARD7	other	 	 	 	 	 	2.12E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	TGX-221	chemical - kinase inhibitor	 	 	 	 	 	2.12E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	TRIM41	other	 	 	 	 	 	2.12E-02	PRKCZ	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	VSX2	transcription regulator	 	 	 	 	 	2.12E-02	MITF	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	Zfp35	other	 	 	 	 	 	2.12E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	apomine	chemical drug	 	 	 	 	 	2.12E-02	NR0B2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	nilutamide	chemical drug	 	 	 	 	 	2.12E-02	IGF1R	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	taurochenodeoxycholate	chemical - endogenous mammalian	 	 	 	 	 	2.12E-02	NR0B2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	terbinafine	chemical drug	 	 	 	 	 	2.12E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	turofexorate isopropyl	chemical drug	 	 	 	 	 	2.12E-02	NR0B2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	NFATC2	transcription regulator	 	 	 	 	 	2.20E-02	ACP5,CITED2,IL4,TLE4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	CAMK4	kinase	 	 	 	 	 	2.30E-02	CSRP1,IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	Fgf	group	 	 	 	 	 	2.30E-02	IGF1R,MITF	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	APP	other	 	 	 	 	 	2.37E-02	ASCC1,CITED2,CS,CTSB,ENG,EVL,GPI,IGF1R,IL4,PPP2CA,STX1B,VKORC1L1	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	TO-901317	chemical reagent	 	 	 	 	 	2.38E-02	FBP1,GPI,HK2,ITIH4,NR0B2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	IL10RA	transmembrane receptor	 	 	 	 	 	2.38E-02	CLEC12A,DDIT4,EHF,MECR,PMP22,PPT2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	MYC	transcription regulator	 	 	 	 	 	2.43E-02	ABCB9,ANGPT2,COL15A1,CTSB,DDIT4,GPI,HK2,IL5RA,IRF6,MITF,PMP22,PPP2CA,ST3GAL1,TLE4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	ACVRL1	kinase	 	 	 	 	 	2.44E-02	ANGPT2,ENG	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	CD80	transmembrane receptor	 	 	 	 	 	2.57E-02	IGF1R,IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	RARA	ligand-dependent nuclear receptor	 	 	 	 	 	2.59E-02	IL4,IL5RA,IRF6,PHF19,SHANK2,TLE4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	TRH	other	 	 	 	 	 	2.71E-02	ANGPT2,MITF	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	miR-182-5p (and other miRNAs w/seed UUGGCAA)	mature microrna	 	 	 	 	 	2.71E-02	IGF1R,MITF	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	Nfat (family)	group	 	 	 	 	 	2.73E-02	ACP5,IL4,SLC7A1	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	AMACR	enzyme	 	 	 	 	 	2.82E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	ANKRD13C	other	 	 	 	 	 	2.82E-02	PTGDR2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	CHST2	enzyme	 	 	 	 	 	2.82E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	CHST4	enzyme	 	 	 	 	 	2.82E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	CMIP	other	 	 	 	 	 	2.82E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	CYP11B2	enzyme	 	 	 	 	 	2.82E-02	IGF1R	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	Cd1	group	 	 	 	 	 	2.82E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	Gzmb	peptidase	 	 	 	 	 	2.82E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	HLA-E	transmembrane receptor	 	 	 	 	 	2.82E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	IL20RB	other	 	 	 	 	 	2.82E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	IRF2BP2	transcription regulator	 	 	 	 	 	2.82E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	Il12 receptor	complex	 	 	 	 	 	2.82E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	MPP5	kinase	 	 	 	 	 	2.82E-02	PMP22	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	NLN	peptidase	 	 	 	 	 	2.82E-02	FBP1	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	PAK4	kinase	 	 	 	 	 	2.82E-02	CTSB	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	Pou3f1	transcription regulator	 	 	 	 	 	2.82E-02	PMP22	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	RASAL3	other	 	 	 	 	 	2.82E-02	IL4	 	
